record_num,pre_issuer,post_issuer,pre_description,post_description,pre_asset_type,post_asset_type
1012,Cohen & Steers Realty Shares Fund Class L,Cohen & Steers,Mutual Fund,Realty Shares Fund Class L,,
1013,Vanguard High-Yield Corporate Fund Admiral,Vanguard,Mutual Fund,High-Yield Corporate Fund Admiral Shares,,
1021,Transamerica - Large Value Opportunities Variable,Transamerica,Mutual Fund,Large Value Opportunities Variable,,
1022,Transamerica - Large Growth,Transamerica,Mutual Fund,Large Growth,,
1023,Transamerica - Large Core ESG,Transamerica,Mutual Fund,Large Core ESG,,
1031,Transamerica - Asset Allocation Intermediate Horizon,Transamerica,Mutual Fund,Asset Allocation Intermediate Horizon,,
1032,Mutual of New York - Large Value Opportunities,Mutual of New York,Mutual Fund,Large Value Opportunities,,
1033,Transamerica - Partners Large Core,Transamerica,Mutual Fund,Partners Large Core,,
1041,Vanguard Target Retirement 2055,Vanguard,Mutual Fund,Target Retirement 2055 Fund,Target Date Fund,Mutual Fund
1042,Vanguard Target Retirement 2060,Vanguard,Mutual Fund,Target Retirement 2060 Fund,Target Date Fund,Mutual Fund
1043,Vanguard Target Retirement 2050,Vanguard,Mutual Fund,Target Retirement 2050 Fund,Target Date Fund,Mutual Fund
1051,Transamerica - Balanced II Variable,Transamerica,Mutual Fund,Balanced II Variable Fund,,
1052,Transamerica - Partners High Yield Bond,Transamerica,Mutual Fund,Partners High Yield Bond Fund,Corporate Bond,Mutual Fund
1053,Vanguard Target Retirement 2035,Vanguard,Mutual Fund,Target Retirement 2035 Fund,Target Date Fund,Mutual Fund
1061,Medley PSF Stock Index Portfolio,Medley,Pooled Separate Account,PSF Stock Index Portfolio,Common Stock,Index Fund
1062,Medley PSF Jennison Blend,Medley,Pooled Separate Account,PSF Jennison Blend Portfolio,,
1063,Empower - Medley PSF Stock Index Portfolio,Medley,Pooled Separate Account,PSF Stock Index Portfolio,Common Stock,Index Fund
1071,Medley PSF PGIM Government Money Market Portfolio,PGIM,Pooled Separate Account,Medley PSF PGIM Government Money Market Portfolio,,
1072,Medley PSF PGIM Total Retirement Bond Portfolio,PGIM,Pooled Separate Account,Medley PSF PGIM Total Retirement Bond Portfolio,,
1073,Medley PSF PGIM Government Income Portfolio,PGIM,Pooled Separate Account,Medley PSF PGIM Government Income Portfolio,,
1081,TIAA-CREF,TIAA,,,,
1082,TIAA-CREF,TIAA,,,,
1083,TIAA-CREF,TIAA,,,,
1093,,,,,Target Date Fund,Mutual Fund
1094,,,,,Target Date Fund,Mutual Fund
1095,,,,,Target Date Fund,Mutual Fund
1101,Target Retirement Date Fund Post Retirement,Unknown,"8,429,610 shares",Target Retirement Date Fund Post Retirement,Target Date Fund,Mutual Fund
1102,US Equity S&P 500,Unknown,"51,057,793 shares",US Equity S&P 500,Other,Index Fund
1103,Diversified Real Asset Fund,Unknown,"894,605 shares",Diversified Real Asset Fund,,
1111,BlackRock Extended Market Fund,BlackRock,"Collective Trust, 2,314,980 units",Extended Market Fund,,
1112,BlackRock MSCI ACWI Equity Fund,BlackRock,"Collective Trust, 37,621,834 units",MSCI ACWI Equity Fund,,
1113,State Street TIPS,State Street,"Collective Trust, 11,321,218 units",TIPS,,
1121,Vanguard Explorer Fund,Vanguard,"3,863,570 shares",Explorer Fund,,
1122,Vanguard High Yield Corp,Vanguard,"32,167,518 shares",High-Yield Corporate Fund,,
1123,Fidelity Real Estate Index,Fidelity,"7,394,526 shares",Real Estate Index Fund,Real Estate,Index Fund
1131,MFS Value Fund,MFS,"10,744,801 shares",MFS Value Fund,,
1132,Fidelity Advisor Real Estate Income Fund,Fidelity,"6,146,849 shares",Fidelity Advisor Real Estate Income Fund,Real Estate,Mutual Fund
1133,PIMCO Total Return ESG,PIMCO,"544,248 shares",PIMCO Total Return ESG Fund,,
1141,The Lincoln National Life Insurance Company,Lincoln Financial,,,,
1142,The Lincoln National Life Insurance Company,Lincoln Financial,,,,
1143,The Lincoln National Life Insurance Company,Lincoln Financial,,,,
1151,The Lincoln National Life Insurance Company,Lincoln Financial Group,,,,
1152,The Lincoln National Life Insurance Company,Lincoln Financial Group,,,,
1153,The Lincoln National Life Insurance Company,Lincoln Financial Group,,,,
1161,The Lincoln National Life Insurance Company,Lincoln Financial,,,,
1162,The Lincoln National Life Insurance Company,Lincoln Financial,,,,
1163,The Lincoln National Life Insurance Company,Lincoln Financial,,,,
1171,Fidelity Management Trust Company,Fidelity,,,,
1172,Fidelity Management Trust Company,Fidelity,,,,
1173,Fidelity Management Trust Company,Fidelity,,,,
1181,Fidelity Management Trust Company,Fidelity,,,,
1182,Fidelity Management Trust Company,Fidelity,,,,
1183,Fidelity Management Trust Company,Fidelity,,,,
1191,Fidelity Management Trust Company,Fidelity,,,,
1192,Fidelity Management Trust Company,Fidelity,,,,
1193,Fidelity Management Trust Company,Fidelity,,,,
1201,Fidelity Management Trust Company,Fidelity,,,,
1202,Fidelity Management Trust Company,Fidelity,,,,
1203,Fidelity Management Trust Company,Fidelity,,,,
1211,Fidelity Management Trust Company,Fidelity,,,,
1212,Fidelity Management Trust Company,Fidelity,,,,
1213,Fidelity Management Trust Company,Fidelity,,,,
1221,Fidelity Management Trust Company,Fidelity,,,,
1222,Fidelity Management Trust Company,Fidelity,,,,
1223,Fidelity Management Trust Company,Fidelity,,,,
1231,Fidelity Management Trust Company,Fidelity,,,,
1232,Fidelity Management Trust Company,Fidelity,,,,
1233,Fidelity Management Trust Company,Fidelity,,,,
1241,Fidelity Management Trust Company,Fidelity,,,,
1242,Fidelity Management Trust Company,Fidelity,,,,
1243,Fidelity Management Trust Company,Fidelity,,,,
1251,Fidelity Management Trust Company,Fidelity,,,,
1252,Fidelity Management Trust Company,Fidelity,,,,
1253,Fidelity Management Trust Company,Fidelity,,,,
1261,Fidelity Management Trust Company,Fidelity,,,,
1262,Fidelity Management Trust Company,Fidelity,,,,
1263,Fidelity Management Trust Company,Fidelity,,,,
1271,Fidelity Management Trust Company,Fidelity,,,,
1272,Fidelity Management Trust Company,Fidelity,,,,
1273,Fidelity Management Trust Company,Fidelity,,,,
1281,Fidelity Management Trust Company,Fidelity,,,,
1282,Fidelity Management Trust Company,Fidelity,,,,
1283,Fidelity Management Trust Company,Fidelity,,,,
1291,Fidelity Management Trust Company,Fidelity,,,,
1292,Fidelity Management Trust Company,Fidelity,,,,
1293,Fidelity Management Trust Company,Fidelity,,,,
1301,Fidelity Management Trust Company,Fidelity,,,,
1302,Fidelity Management Trust Company,Fidelity,,,,
1303,Fidelity Management Trust Company,Fidelity,,,,
1311,Fidelity Management Trust Company,Fidelity,,,,
1312,Fidelity Management Trust Company,Fidelity,,,,
1313,Fidelity Management Trust Company,Fidelity,,,,
1321,Voya Retirement Insurance and Annuity Co,Voya,,,,
1322,Voya Retirement Insurance and Annuity Co,Voya,,,,
1323,Voya Retirement Insurance and Annuity Co,Voya,,,,
1331,Voya Retirement Insurance and Annuity Co,Voya,,,,
1332,Voya Retirement Insurance and Annuity Co,Voya,,,,
1333,Voya Retirement Insurance and Annuity Co,Voya,,,,
1341,Voya Retirement Insurance and Annuity Co,Voya,,,,
1342,Voya Retirement Insurance and Annuity Co,Voya,,,,
1343,Voya Retirement Insurance and Annuity Co,Voya,,,,
1353,Voya Retirement Insurance and Annuity Co,Voya,,Retirement Insurance and Annuity Contract,,
1354,Voya Retirement Insurance and Annuity Co,Voya,,Retirement Insurance and Annuity Contract,,
1355,Voya Retirement Insurance and Annuity Co,Voya,,Retirement Insurance and Annuity Contract,,
1361,VALIC CORE BOND FUND A,VALIC,,Core Bond Fund Class A,Corporate Bond,Mutual Fund
1362,VALIC DIVIDEND VALUE A,VALIC,,Dividend Value Fund Class A,Other,Mutual Fund
1363,VALIC GLOBAL REAL ESTATE FUND A,VALIC,,Global Real Estate Fund Class A,Real Estate,Mutual Fund
1371,VALIC INTERNATL EQUITIES INDEX FUND A,VALIC,,International Equities Index Fund Class A,Mutual Fund,Index Fund
1372,VALIC INTL OPPORTUNITIES A,VALIC,,International Opportunities Fund Class A,Other,Mutual Fund
1373,VALIC INTL SOCIALLY RESPONSIBLE FUND A,VALIC,,International Socially Responsible Fund Class A,,
1381,VALIC SMALL CAP GROWTH FUND A,VALIC,,Small Cap Growth Fund Class A,,
1382,VALIC SMALL CAP INDEX FUND A,VALIC,,Small Cap Index Fund Class A,Mutual Fund,Index Fund
1383,VALIC SMALL CAP SPECIAL VALUE FUND A,VALIC,,Small Cap Special Value Fund Class A,,
1391,American Funds TRGTDT 2010 R6,American Funds,,Target Date 2010 Fund Class R6,,
1392,American Funds TRGTDT 2015 R6,American Funds,,Target Date 2015 Fund Class R6,,
1393,American Funds TRGTDT 2020 R6,American Funds,,Target Date 2020 Fund Class R6,,
1401,American Funds TRGTDT 2060 R6,American Funds,,Target Date 2060 Fund Class R6,,
1402,American Funds TRGTDT 2065 R6,American Funds,,Target Date 2065 Fund Class R6,,
1403,DFA Global Real Estate SEC I,DFA,,Global Real Estate Securities Fund Institutional Class,Real Estate,Mutual Fund
1411,Vanguard INST Extended MKT IDX,Vanguard,,Extended Market Index Fund Institutional Shares,Mutual Fund,Index Fund
1412,Vanguard INSTL TOT INTL STK MKT,Vanguard,,Total International Stock Market Index Fund Institutional Shares,Mutual Fund,Index Fund
1413,Vanguard INSTL TOT STK MKT,Vanguard,,Total Stock Market Index Fund Institutional Shares,Mutual Fund,Index Fund
1421,SSGA G STIFF ERISA Qualified,State Street Global Advisors,,G STIFF ERISA Qualified,Other,Common/Collective Trust Fund
1422,State Street Bank and Trust Company,State Street,,,,
1423,T. Rowe Price Cash Reserves Trust,T. Rowe Price,,Cash Reserves Trust,Other,Money Market Fund
1431,CREF Global Equities R4 College Retirement Equities Fund variable annuities,TIAA-CREF,,CREF Global Equities Account R4 (College Retirement Equities Fund variable annuities),,
1432,CREF Growth R3 College Retirement Equities Fund variable annuities,TIAA-CREF,,CREF Growth Account R3 (College Retirement Equities Fund variable annuities),,
1433,CREF Inflation-Linked Bond R3 College Retirement Equities Fund variable annuities,TIAA-CREF,,CREF Inflation-Linked Bond Account R3 (College Retirement Equities Fund variable annuities),Corporate Bond,Mutual Fund
1441,Nuveen Internatl Eq Idx R6 Nuveen s,Nuveen,,Nuveen International Equity Index Fund R6,Other,Index Fund
1442,Nuveen Large Cap Resp Eq R6 Nuveen s,Nuveen,,Nuveen Large Cap Responsible Equity Fund R6,Other,Mutual Fund
1443,American Funds New World R6,American Funds,,New World Fund Class R6,,
1451,Vanguard Infl Protect Sec Inst Vanguard sponsored s,Vanguard,,Inflation-Protected Securities Fund Institutional Shares,,
1452,Vanguard Inst Idx Inst Plus Vanguard sponsored s,Vanguard,,Institutional Index Fund Institutional Plus Shares,Mutual Fund,Index Fund
1453,Vanguard Intl Growth Adm Vanguard sponsored s,Vanguard,,International Growth Fund Admiral Shares,,
1461,Vanguard Target Retire 2035 Vanguard sponsored s,Vanguard,,Target Retirement 2035 Fund,Target Date Fund,Mutual Fund
1462,Vanguard Target Retire 2040 Vanguard sponsored s,Vanguard,,Target Retirement 2040 Fund,Target Date Fund,Mutual Fund
1463,Vanguard Target Retire 2045 Vanguard sponsored s,Vanguard,,Target Retirement 2045 Fund,Target Date Fund,Mutual Fund
1471,Vanguard Ttl Bd Mkt Idx InstPl Vanguard sponsored s,Vanguard,,Total Bond Market Index Fund Institutional Plus Shares,Mutual Fund,Index Fund
1472,Vanguard Wellington Adm Vanguard sponsored s,Vanguard,,Wellington Fund Admiral Shares,,
1473,"Notes Receivable From Participant Loan Fund, various maturity dates through 2034,",Notes Receivable From Participant,,Participant Loans (various maturity dates through 2034),Mutual Fund,Other
1481,Vanguard Target Inc.,Vanguard,Registered Investment Company,Target Retirement Income Fund,Target Date Fund,Mutual Fund
1482,Vanguard Target 2020,Vanguard,Registered Investment Company,Target Retirement 2020 Fund,Target Date Fund,Mutual Fund
1483,Vanguard Target 2025,Vanguard,Registered Investment Company,Target Retirement 2025 Fund,Target Date Fund,Mutual Fund
1491,Vanguard Target 2065,Vanguard,Registered Investment Company,Target Retirement 2065 Fund,Target Date Fund,Mutual Fund
1492,Vanguard Target 2070,Vanguard,Registered Investment Company,Target Retirement 2070 Fund,Target Date Fund,Mutual Fund
1493,Vanguard Total Bond,Vanguard,Registered Investment Company,Total Bond Market Index Fund,Corporate Bond,Index Fund
1501,TIAA SRA Contracts,TIAA,Insurance contracts,SRA Contracts,,
1502,TIAA GRA Contracts,TIAA,Insurance contracts,GRA Contracts,,
1503,TIAA Retirement Choice Contracts,TIAA,Insurance contracts,Retirement Choice Contracts,,
1511,BlackRock Mid Cap Growth Eq K,BlackRock,Registered investment companies,Mid Cap Growth Equity Fund Class K,,
1512,CREF Core Bond R3,TIAA,Registered investment companies,CREF Core Bond Fund Class R3,Corporate Bond,Mutual Fund
1513,CREF Equity Index R3,TIAA,Registered investment companies,CREF Equity Index Fund Class R3,Other,Index Fund
1521,Loomis Sayles Sm Cap Growth N,Loomis Sayles,Registered investment companies,Small Cap Growth Fund Class N,Other,Mutual Fund
1522,MFS Intl Diversification Cl R6,MFS,Registered investment companies,International Diversification Fund Class R6,Other,Mutual Fund
1523,MFS Mid Cap Value Class R6,MFS,Registered investment companies,Mid Cap Value Fund Class R6,Other,Mutual Fund
1531,Vanguard Inst Idx Inst Plus,Vanguard,Registered investment companies,Institutional Index Fund Institutional Plus Shares,Mutual Fund,Index Fund
1532,Vanguard Long-Trm Bd Idx Inst,Vanguard,Registered investment companies,Long-Term Bond Index Fund Institutional Shares,Mutual Fund,Index Fund
1533,Vanguard Mid-Cap Grw Idx Adm,Vanguard,Registered investment companies,Mid-Cap Growth Index Fund Admiral Shares,Mutual Fund,Index Fund
1541,Vanguard Small-Cap Val Idx Inst,Vanguard,Registered investment companies,Small-Cap Value Index Fund Institutional Shares,Mutual Fund,Index Fund
1542,Vanguard Target Retire 2020,Vanguard,Registered investment companies,Target Retirement 2020 Fund,Target Date Fund,Mutual Fund
1543,Vanguard Target Retire 2025,Vanguard,Registered investment companies,Target Retirement 2025 Fund,Target Date Fund,Mutual Fund
1551,Vanguard Target Retire 2065,Vanguard,Registered investment companies,Target Retirement 2065 Fund,Target Date Fund,Mutual Fund
1552,Vanguard Target Retire 2070,Vanguard,Registered investment companies,Target Retirement 2070 Fund,Target Date Fund,Mutual Fund
1553,Vanguard Target Retire Income,Vanguard,Registered investment companies,Target Retirement Income Fund,Target Date Fund,Mutual Fund
1561,VALIC Amer Beacon Brdwy Lrg Cp Grw I,VALIC,Registered investment companies,Amer Beacon Broadway Large Cap Growth Fund Class I,Other,Mutual Fund
1562,VALIC Ariel Appreciation Fund,VALIC,Registered investment companies,Ariel Appreciation Fund,,
1563,VALIC Ariel Fund,VALIC,Registered investment companies,Ariel Fund,,
1571,VALIC Growth Fund,VALIC,Registered investment companies,VALIC Growth Fund,,
1572,VALIC GS Vit Gov Money Mkt Fd Inst,VALIC,Registered investment companies,VALIC GS Vit Government Money Market Fund Institutional,Other,Money Market Fund
1573,VALIC High Yield Bond Fund,VALIC,Registered investment companies,VALIC High Yield Bond Fund,Corporate Bond,Mutual Fund
1581,VALIC Large Capital Growth,VALIC,Registered investment companies,Large Capital Growth Fund,Other,Mutual Fund
1582,VALIC Loan Escrow Fund,VALIC,Registered investment companies,Loan Escrow Fund,,
1583,VALIC Mid Cap,VALIC,Registered investment companies,Mid Cap Fund,Other,Mutual Fund
1591,VALIC Small Cap Special Value Fund,VALIC,Registered investment companies,Small Cap Special Value Fund,,
1592,VALIC Small Cap Value Fund,VALIC,Registered investment companies,Small Cap Value Fund,,
1593,VALIC Stock,VALIC,Registered investment companies,VALIC Stock,,
1601,VALIC Vanguard Long-Term Treasury,VALIC,Registered investment companies,Vanguard Long-Term Treasury Fund,,
1602,VALIC Vanguard Lt Inv-Grade Fund,VALIC,Registered investment companies,Vanguard Long-Term Investment-Grade Fund,,
1603,VALIC Vanguard Wellington Fund Inc,VALIC,Registered investment companies,Vanguard Wellington Fund,,
1611,American Funds Fundamental Investors Fund,American Funds,Mutual Fund,Fundamental Investors Fund,,
1612,American Funds Income Fund of America Fund,American Funds,Mutual Fund,Income Fund of America Fund,,
1613,American Funds New Perspective Fund,American Funds,Mutual Fund,New Perspective Fund,,
1621,Dodge & Cox International Stock Fund,Dodge & Cox,Mutual Fund,Dodge & Cox International Stock Fund,Common Stock,Mutual Fund
1622,Invesco Comstock Fund,Invesco,Mutual Fund,Invesco Comstock Fund,Common Stock,Mutual Fund
1623,Lord Abbett Total Return Fund,Lord Abbett,Mutual Fund,Lord Abbett Total Return Fund,,
1631,Vanguard Total Bond Market,Vanguard,Mutual Fund,Total Bond Market Fund,Corporate Bond,Mutual Fund
1632,American Funds Europacific Growth Fund,American Funds,Pooled Separate Account,EuroPacific Growth Fund,,
1633,Blackrock Equity Dividend Fund,BlackRock,Pooled Separate Account,Equity Dividend Fund,,
1641,Wellington Dividend Growth Fund,Wellington Management,Pooled Separate Account,Wellington Dividend Growth Fund,,
1642,Wellington Growth Opportunities Fund,Wellington Management,Pooled Separate Account,Wellington Growth Opportunities Fund,,
1643,T. Rowe Price Blue Chip Growth Trust Fund,T. Rowe Price,Collective Investment Trust,Blue Chip Growth Trust Fund,Mutual Fund,Common/Collective Trust Fund
1651,TIAA and CREF CREF Growth Account N/R,TIAA,,CREF Growth Account,,
1652,TIAA and CREF CREF Inflation-Linked Bond Account N/R,TIAA,,CREF Inflation-Linked Bond Account,Corporate Bond,Other
1653,TIAA and CREF CREF Money Market Account N/R,TIAA,,CREF Money Market Account,,
1661,Vanguard Fiduciary Trust Company Vanguard FTSE Social Idx Inst N/R,Vanguard,,FTSE Social Index Fund Institutional Shares,Mutual Fund,Index Fund
1662,Vanguard Fiduciary Trust Company Vanguard Global Equity Inv N/R,Vanguard,,Global Equity Fund Investor Shares,,
1663,Vanguard Fiduciary Trust Company Vanguard Inflation Prot Sec Inst N/R,Vanguard,,Inflation-Protected Securities Fund Institutional Shares,,
1671,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2045 N/R,Vanguard,,Institutional Target Retirement 2045 Fund,,
1672,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2050 N/R,Vanguard,,Institutional Target Retirement 2050 Fund,,
1673,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2055 N/R,Vanguard,,Institutional Target Retirement 2055 Fund,,
1681,Loans receivable from participants 2034 0,Loans Receivable From Participants,,Participant Loans Receivable,,
1682,TIAA and CREF TIAA Traditional Benefit-Responsive N/R,TIAA,,TIAA Traditional Benefit-Responsive,,
1683,TIAA and CREF TIAA Traditional Non-Benefit- N/R,TIAA,,TIAA Traditional Non-Benefit-Responsive,,
1691,TIAA and CREF CREF Stock Account N/R,TIAA-CREF,,CREF Stock Account,,
1692,TIAA and CREF TIAA Real Estate Account N/R,TIAA-CREF,,TIAA Real Estate Account,,
1693,PGIM Jennison Fund PGIM Jennison Small Company N/R,PGIM,,PGIM Jennison Small Company Fund,,
1701,Vanguard Fiduciary Trust Company Vanguard Int'l Growth Adm N/R,Vanguard,,International Growth Fund Admiral Shares,,
1702,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2020 N/R,Vanguard,,Institutional Target Retirement 2020 Fund,,
1703,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2025 N/R,Vanguard,,Institutional Target Retirement 2025 Fund,,
1711,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2065 N/R,Vanguard,,Institutional Target Retirement 2065 Fund,,
1712,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement 2070 N/R,Vanguard,,Institutional Target Retirement 2070 Fund,,
1713,Vanguard Fiduciary Trust Company Vanguard Inst Tgt Retirement Income N/R,Vanguard,,Institutional Target Retirement Income Fund,,
1721,"October 15,",October 15,,October 15,,
1722,50% Artisan / 50%BNY Mellon International Option,Artisan / BNY Mellon,,50% Artisan / 50% BNY Mellon International Option,,
1723,50% Champlain / 50% Diamond Hill Small Cap Option,Champlain / Diamond Hill,,50% Champlain / 50% Diamond Hill Small Cap Option,,
1731,Medley PSF Global Portfolio,Medley,,PSF Global Portfolio,,
1732,Medley PSF Govt Income Portfolio,Medley,,PSF Government Income Portfolio,,
1733,Medley PSF PGIM 50/50 Balanced Portfolio,Medley,,PSF PGIM 50/50 Balanced Portfolio,,
1741,Transamerica Partners Short-Term Bond Account*,Transamerica,,Transamerica Partners Short-Term Bond Account,,
1742,Transamerica Partners Small Cap Growth Account*,Transamerica,,Transamerica Partners Small Cap Growth Account,,
1743,Transamerica Partners Small Cap Value Account*,Transamerica,,Transamerica Partners Small Cap Value Account,,
1751,Vanguard Institutional Target Retirement 2040,Vanguard,,Institutional Target Retirement 2040 Fund,Target Date Fund,Mutual Fund
1752,Vanguard Institutional Target Retirement 2045,Vanguard,,Institutional Target Retirement 2045 Fund,Target Date Fund,Mutual Fund
1753,Vanguard Institutional Target Retirement 2050,Vanguard,,Institutional Target Retirement 2050 Fund,Target Date Fund,Mutual Fund
1761,Lincoln Ab Vps Sust Global Thematic Port*,AllianceBernstein,,Lincoln AB VPS Sustainable Global Thematic Portfolio,Other,Mutual Fund
1762,Lincoln American Funds Global Growth*,American Funds,,Lincoln American Funds Global Growth,,
1763,Lincoln American Funds Growth Fund*,American Funds,,Lincoln American Funds Growth Fund,,
1771,Lincoln Fidelityvip Freedom Target2035*,Fidelity,,Lincoln Fidelity VIP Freedom Target 2035 Fund,,
1772,Lincoln Fidelityvip Freedom Target2045*,Fidelity,,Lincoln Fidelity VIP Freedom Target 2045 Fund,,
1773,Lincoln Janus Henderson Glb Research*,Janus Henderson,,Lincoln Janus Henderson Global Research Fund,Other,Mutual Fund
1781,Lincoln LVIP Br Inflation Protected*,Lincoln,,LVIP Br Inflation Protected,Other,Mutual Fund
1782,Lincoln LVIP Dimensional Us Core Eqty1*,Lincoln,,LVIP Dimensional US Core Equity 1,Other,Mutual Fund
1783,Lincoln LVIP FT Emerging MKT EQ Fund*,Lincoln,,LVIP FT Emerging Market Equity Fund,,
1791,Lincoln LVIP Macquire Divers Floating Rate Fund*,Lincoln,,LVIP Macquarie Diversified Floating Rate Fund,,
1792,Lincoln LVIP Macquire High Yield Fund*,Lincoln,,LVIP Macquarie High Yield Fund,,
1793,Lincoln LVIP Macquire Smid Cap Core Fund*,Lincoln,,LVIP Macquarie SMID Cap Core Fund,,
1801,Lincoln LVIP Ssga International Index*,SSGA,,Lincoln LVIP SSGA International Index,Other,Index Fund
1802,Lincoln LVIP Ssga International Mgdvlt*,SSGA,,Lincoln LVIP SSGA International Managed Volatility,,
1803,Lincoln LVIP Ssga S&P 500 Index*,SSGA,,Lincoln LVIP SSGA S&P 500 Index,Other,Index Fund
1811,Lincoln Nb Amt Sustainable Eq Port*,Lincoln,,NB AMT Sustainable Equity Portfolio,,
1812,Lincoln T. Rowe Price Int’L Stock*,Lincoln,,T. Rowe Price International Stock,Common Stock,Other
1813,Transamerica Large Value Opportunities Variable*,Transamerica,,Large Value Opportunities Variable,,
1821,Transamerica Financial Life Insurance Co. Fixed Fund*,Transamerica,,Financial Life Insurance Co. Fixed Fund,,
1822,Transamerica Financial Life Insurance Co. Government Fixed Fund*,Transamerica,,Financial Life Insurance Co. Government Fixed Fund,,
1823,Brighthouse BH/Wellington Balanced*,Brighthouse,,BH/Wellington Balanced,Other,Mutual Fund
1831,Brighthouse Fid VIP Mid Cap Port SC 2*,Brighthouse Financial,,Fidelity VIP Mid Cap Portfolio Service Class 2,Other,Mutual Fund
1832,Brighthouse Fidelity ContraFund – SC2*,Brighthouse Financial,,Fidelity ContraFund Service Class 2,,
1833,Brighthouse Fidelity High Inc Port IC*,Brighthouse Financial,,Fidelity High Income Portfolio Initial Class,,
1841,Brighthouse MFS Research International*,Brighthouse,,MFS Research International,Other,Mutual Fund
1842,Brighthouse T. Rowe Price Large Cap Gro Port*,Brighthouse,,T. Rowe Price Large Cap Growth Portfolio,Other,Mutual Fund
1843,Brighthouse T. Rowe Price Small CapGr*,Brighthouse,,T. Rowe Price Small Cap Growth Portfolio,Other,Mutual Fund
1851,MetLife BH/WELLCREQIOPPR*,MetLife,,BH/WELLCREQIOPPR,,
1852,MetLife BlackRock Bond Income*,BlackRock,,Bond Income,,
1853,MetLife Fix Int Acct*,MetLife,,Fixed Interest Account,,
1861,MetLife Wstrn Asst Mgt Strag Bd*,MetLife,,Western Asset Management Strategic Bond,,
1862,Transamerica Financial Life Insurance Company Stable Fund*,Transamerica,,Stable Fund,Mutual Fund,Other
1863,Fidelity VIP Govt Money Market Premier,Fidelity,,VIP Government Money Market Premier,,
1871,Black Rock Russell 2000,BlackRock,,Russell 2000 Index Fund,Other,Index Fund
1872,Fidelity Managed Income Portfolio II,Fidelity,,Managed Income Portfolio II,,
1873,Spartan 500 Index Pool Class E,Fidelity,,Spartan 500 Index Pool Class E,Other,Index Fund
1881,Vanguard Target Retirement 2050 Trust Flex,Vanguard,,Target Retirement 2050 Trust Flex,Target Date Fund,Common/Collective Trust Fund
1882,Vanguard Target Retirement 2055 Trust Flex,Vanguard,,Target Retirement 2055 Trust Flex,Target Date Fund,Common/Collective Trust Fund
1883,Vanguard Target Retirement 2060 Trust Flex,Vanguard,,Target Retirement 2060 Trust Flex,Target Date Fund,Common/Collective Trust Fund
1891,Fidelity Real Estate,Fidelity,,Fidelity Real Estate,,
1892,JPMorgan High Yield Bond Fund,JPMorgan,,High Yield Bond Fund,Corporate Bond,Mutual Fund
1893,Meridian Growth Fund,Meridian,,Meridian Growth Fund,,
1901,Vanguard PrimeCap Core Fund,Vanguard,,PrimeCap Core Fund,,
1902,Fidelity Treasury Portfolio,Fidelity,,Treasury Portfolio,,
1903,Pimco Total Return Fund,PIMCO,,Total Return Fund,,
1911,Vanguard REIT,Vanguard,,REIT Index Fund,Mutual Fund,Index Fund
1912,Vanguard Emerging Markets Fund,Vanguard,,Emerging Markets Stock Index Fund,Mutual Fund,Index Fund
1913,Vanguard Inflation-Protected Securities,Vanguard,,Inflation-Protected Securities Fund,,
1921,Vanguard Bond,Vanguard,,Bond,,
1922,Vanguard Instl,Vanguard,,Institutional,,
1923,Vanguard Total International Stock,Vanguard,,Total International Stock,Common Stock,Index Fund
1931,Vanguard Target 2055 Fund,Vanguard,,Target Retirement 2055 Fund,Target Date Fund,Mutual Fund
1932,Vanguard Target 2060 Fund,Vanguard,,Target Retirement 2060 Fund,Target Date Fund,Mutual Fund
1933,Vanguard Target 2065 Fund,Vanguard,,Target Retirement 2065 Fund,Target Date Fund,Mutual Fund
1942,VANGUARD TARGET RET INCOME TR,Vanguard,COMMON / COLLECTIVE TRUSTS,Target Retirement Income Trust,,
1943,VANGUARD TL INTL STK MKT INDEX,Vanguard,COMMON / COLLECTIVE TRUSTS,Total International Stock Market Index Trust,,
1944,VANGUARD TR INCOME & GROWTH TR,Vanguard,COMMON / COLLECTIVE TRUSTS,Income & Growth Trust,,
1951,VANGUARD MIDCAP INDEX CL IP,Vanguard,MUTUAL FUNDS,Mid-Cap Index Fund Institutional Plus Shares,Mutual Fund,Index Fund
1952,VANGUARD REIT INDEX FD CL INST,Vanguard,MUTUAL FUNDS,REIT Index Fund Institutional Shares,Mutual Fund,Index Fund
1953,VANGUARD SMALL-CAP INDEX INST,Vanguard,MUTUAL FUNDS,Small-Cap Index Fund Institutional Shares,Mutual Fund,Index Fund
1961,"VANGUARD INSTL 500 INDEX TRUST COMMON / COLLECTIVE TRUSTS 3,651,699,692",Vanguard,,Institutional 500 Index Trust,,
1962,"VANGUARD INSTL TL BOND INDEX COMMON / COLLECTIVE TRUSTS 840,531,172",Vanguard,,Institutional Total Bond Index Trust,,
